Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AMZN,"Amazon.com, Inc.",1994.82,9.73E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
WMT,Walmart Inc.,96.62,2.85E+11,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/wmt
HD,"Home Depot, Inc. (The)",204.15,2.34E+11,n/a,n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/hd
CMCSA,Comcast Corporation,36.28,1.66E+11,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/cmcsa
DIS,Walt Disney Company (The),109.87,1.63E+11,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/dis
NFLX,"Netflix, Inc.",341.18,1.49E+11,n/a,2002,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/nflx
MCD,McDonald&#39;s Corporation,163.24,1.27E+11,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/mcd
COST,Costco Wholesale Corporation,235.61,1.03E+11,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/cost
LOW,"Lowe&#39;s Companies, Inc.",108.41,87920510000,n/a,n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/low
FOX,"Twenty-First Century Fox, Inc.",44.72,82847116122,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/fox
SBUX,Starbucks Corporation,53.79,72568089000,n/a,1992,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/sbux
CHTR,"Charter Communications, Inc.",306.81,71138172977,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/chtr
TJX,"TJX Companies, Inc. (The)",111.13,69478774717,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/tjx
AMT,American Tower Corporation (REIT),147.6,65067254561,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
SPG,"Simon Property Group, Inc.",182.41,56404397556,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/spg
FOXA,"Twenty-First Century Fox, Inc.",45.24,55235323745,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/foxa
LVS,Las Vegas Sands Corp.,63.11,49730954276,n/a,2004,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/lvs
CCI,Crown Castle International Corporation,113.9,47250270988,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cci
TGT,Target Corporation,88.6,46634697448,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/tgt
CCL,Carnival Corporation,60.95,44907723758,n/a,1987,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/ccl
CUK,Carnival Corporation,60.34,44255960274,n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/cuk
MAR,Marriott International,125.01,43376987006,n/a,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mar
SHW,Sherwin-Williams Company (The),461.66,43110282617,n/a,n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/shw
PLD,"Prologis, Inc.",67.24,42328857560,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pld
BAM,Brookfield Asset Management Inc,42.6,42268716584,n/a,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/bam